id	total_1960	gop_1960	dem_1960	total_1964	gop_1964	dem_1964	total_1968	gop_1968	dem_1968	total_1972	gop_1972	dem_1972	total_1976	gop_1976	dem_1976	total_1980	gop_1980	dem_1980	total_1984	gop_1984	dem_1984	total_1988	gop_1988	dem_1988	total_1992	gop_1992	dem_1992	total_1996	gop_1996	dem_1996	total_2000	gop_2000	dem_2000	total_2004	gop_2004	dem_2004	total_2008	gop_2008	dem_2008	total_2012	gop_2012	dem_2012	total_2016	gop_2016	dem_2016
1001	2538	1149	1324	3459	2969	0	7776	606	1553	7140	5367	1593	9338	4512	4640	11063	6292	4295	11917	8350	3366	11654	7828	3667	15585	8715	4819	15422	9509	5015	17208	11993	4942	20081	15196	4758	23641	17403	6093	23973	17379	6363	24973	18172	5936
1003	10636	4812	5647	13400	10870	0	18404	2154	1821	18375	15104	2923	22967	13256	9191	28353	18652	8448	33045	24964	7272	35598	25933	9271	46476	26270	12195	47119	29487	12776	56480	40872	13997	69320	52971	15599	81413	61271	19386	85491	66016	18424	95215	72883	18458
1005	3332	1166	2148	4831	3853	0	7946	386	1898	7029	4985	1846	8690	3758	4730	9001	4171	4458	10161	5459	4591	8899	4958	3836	10431	4475	4836	8953	3627	4787	10395	5096	5188	10777	5899	4832	11630	5866	5697	11517	5550	5912	10469	5454	4871
1007	2752	1052	1697	3125	2623	0	4673	263	652	4248	3332	837	4474	1591	2850	5623	2491	3097	5687	3487	2167	5146	2885	2244	6720	3124	2900	6301	3037	2775	7101	4273	2710	7600	5472	2089	8644	6262	2299	8420	6132	2202	8819	6738	1874
1009	5974	2557	3404	6869	4442	0	9086	2013	331	8173	6486	1582	10978	4233	6645	12724	6819	5656	12482	8508	3738	13548	8754	4485	16505	8882	5433	15327	9056	5061	17973	12667	4977	21504	17386	3938	24267	20389	3522	24060	20757	2970	25588	22859	2156
1011	1174	412	757	2630	1516	0	4347	190	1964	4591	2178	2321	5092	1482	3536	5637	1446	3960	5299	1697	3537	4584	1421	3122	4816	1253	3259	4384	1154	3078	4904	1433	3395	4717	1494	3210	5415	1391	4011	5322	1251	4061	4710	1140	3530
1013	4121	1231	2872	4975	4002	0	7361	500	1240	6128	4685	1401	7208	2909	4271	8368	3810	4156	8709	4941	3641	7459	3923	3465	8478	3494	4021	7770	3352	3828	7803	4127	3606	8416	4979	3413	9709	5485	4188	9502	5087	4374	8732	4901	3726
1015	14536	4821	9590	16845	10635	0	26775	3061	4146	26471	20364	5832	32700	11763	20466	35541	17475	17017	38082	23291	12752	33968	19806	12451	42800	20623	16453	36911	18088	15725	38909	22306	15781	45249	29814	15083	49242	32348	16334	46364	30278	15511	47864	32865	13242
1017	7101	1865	5165	7187	4630	0	10636	1082	1358	11003	8716	2076	11848	5488	6164	11899	4864	6649	13463	8024	5302	12956	7694	5103	13091	5682	5938	11097	4707	5515	11834	6037	5616	13032	7622	5347	14956	8067	6799	14629	7626	6871	13900	7843	5784
1019	3973	872	3097	3809	1893	0	5685	343	462	4422	3179	1182	6256	1492	4668	6438	2482	3764	6319	3225	3029	6101	2868	3176	7876	2745	4222	8421	3048	4399	7823	4154	3497	9049	5923	3040	9745	7298	2306	9792	7506	2132	10733	8953	1547
1021	5007	3201	1798	6847	5202	0	8902	1602	566	8867	7349	1356	10385	4725	5550	11477	6615	4706	11688	8243	2934	12623	8761	3820	14468	8126	4946	14278	7910	5354	15092	10066	4806	16693	12829	3778	17785	13960	3674	17485	13932	3397	18369	15081	2911
1023	1798	612	1094	2910	2497	0	6093	176	1641	5030	3055	1934	6972	3033	3911	6580	2859	3680	7349	3960	3373	7131	3629	3491	7560	3069	3941	7131	2623	4074	7374	3600	3707	7227	3897	3303	7894	4223	3636	7976	4152	3786	7292	4106	3109
1025	3967	2016	1878	5384	4460	0	8626	488	1717	7414	5256	2031	9006	4126	4737	10663	5059	5249	10811	6282	4452	10020	5708	4217	11717	5495	5023	10118	4785	4831	10752	5988	4679	11394	6730	4627	13435	7466	5914	13860	7470	6334	13031	7140	5749
1027	3307	1548	1743	4014	2815	0	5044	706	256	4474	3948	507	4858	1883	2946	5747	2764	2858	5033	3432	1456	5238	3496	1602	5755	2859	2073	5568	2694	2306	5883	3719	2045	6576	4624	1893	6819	4984	1760	6679	4817	1777	6624	5245	1237
1029	2522	1008	1510	2828	2156	0	3995	485	160	4014	3420	581	3981	1436	2490	4526	2389	2050	4623	3259	1238	4490	3071	1383	5237	2425	2144	4241	2063	1737	5092	3333	1664	5798	4370	1391	6492	5216	1168	6319	5272	971	6593	5764	684
1031	5867	1381	4470	6123	4910	0	10766	682	1071	11336	9076	2160	12651	4683	7844	13399	6760	6140	15118	10558	4370	13355	8890	4319	15533	7591	5776	14159	7805	5168	15434	9938	5220	17616	13019	4480	20128	14919	5079	19821	14666	4925	20767	15875	4221
1033	10508	2815	7550	10840	5267	0	15621	1727	2291	16564	11215	4811	16842	4471	11996	20013	6619	12550	21032	9530	11008	18404	7775	10397	22439	8073	12206	20318	8305	10226	21532	10518	10543	23935	13188	10598	24843	14739	9703	23444	13936	9166	24915	16746	7312
1035	2515	650	1815	3421	2782	0	5346	186	1151	4296	3214	1042	4980	1812	3086	6181	2948	3102	6334	3538	2735	6357	3256	3022	6307	2463	3155	5461	2093	2903	5551	2699	2783	6021	3271	2719	6943	3470	3429	7025	3439	3555	6585	3420	3080
